id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Population & Infrastructure,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,data.scripts.AIWorldCode.industries.AIRetrofit_Population,"The basic infrastructure required to support a given population, from rickety orbital hab-modules to megacities and everything between.",100,
AIRetrofit_roboticPopFactoryV0,robotic worker assembely,15,60,,3,,AIRetrofit_roboticPopFactoryV1,lightindustry,,graphics/icons/industry/AIRetrofit_roboticPopFactoryV0.png,data.scripts.AIWorldCode.industries.AIRetrofit_roboticPopFactoryV0,A small production facility for robotic workera. provides a smal amount of population growth to an AI-Pop market,1600,MEDIUM
AIRetrofit_roboticPopFactoryV1,robot worker factory,30,90,,8,AIRetrofit_roboticPopFactoryV0,AIRetrofit_roboticPopFactoryV2,"industry, industrial",,graphics/icons/industry/AIRetrofit_roboticPopFactoryV1.png,data.scripts.AIWorldCode.industries.AIRetrofit_roboticPopFactoryV1,a large falcility deined to produce robitic workers in mass. provides a growth boost devided between all frinedly AI-Pop worlds in the system,1600,HIGH
AIRetrofit_roboticPopFactoryV2,robot worker production center,30,120,,14,AIRetrofit_roboticPopFactoryV1,,"industry, industrial",,graphics/icons/industry/AIRetrofit_roboticPopFactoryV2.png,data.scripts.AIWorldCode.industries.AIRetrofit_roboticPopFactoryV2,"a massive production facility, deinged to produce immence amounts of robotic workers. provides a large amount of pop growth devided between all same faction AIPop markets in the sector",1600,HIGH
AIRetrofit_AINodeProductionFacility,AI Node Production Facility,25,100,,10,,,"industry, industrial",,graphics/icons/industry/AIRetrofit_AI node production facility.png,data.scripts.AIWorldCode.industries.AIRetrofit_AINodeProductionFacility,"This facility produces command cores and command nodes, critical components used to control a robotic colony.",1600,MEDIUM
AIRetrofit_roboticMaintenanceFacility,Robotic Maintenance Center,15,70,,2,,,"industry, industrial",,graphics/icons/industry/AIRetrofit_robotic maintenance facility.png,data.scripts.AIWorldCode.industries.AIRetrofit_roboticMaintenanceFacility,"This facility produces maintenance parts for robotic workers, and possesses additional repair facilities for the most severe of synthetic injuries.",1600,MEDIUM
AIRetrofit_syntheticProductionCenter,Synthetic Production Center,35,120,,13,,,"industry, industrial",,graphics/icons/industry/AIRetrofit syntheticProductionCenter.png,data.scripts.AIWorldCode.industries.AIRetrofit_syntheticProductionCenter,"A rigorous process of producing a skin-like substance, layered over a robot frame with a mix of mock - and real - organs installed. Almost 90% of robotic drones created from this factory fail to meet the required criterias, and are recycled.",1600,MEDIUM
# new industries down here,,,,,,,,,,,,,,
AIRetrofit_shipYard,Automated Ship Instalation Center,20,40,,6,,,lightindustry,,graphics/icons/industry/AIRetrofit_shipYard.png,data.scripts.AIWorldCode.industries.AIRetrofit_shipYard,a building that allows ships to be upgraded with a free -perament- AI Retrofit hullmod. removes any other AI Retrofit hullmod when the upgrade is compleat. even ones that are otherwize permintly instaled,1600,MEDIUM
,,,,,,,,,,,,,,
#robot manufactorys.,,,,,,,,,,,,,,
#AIRetrofit_basicRobotManufactory,personal robot manufactory,10,30,,3,,"AIRetrofit_salvageRobotManufactory
AIRetrofit_salvageRobotManufactory
AIRetrofit_salvageRobotManufactory",lightindustry,,graphics/icons/industry/AIRetrofit_salvageRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_salvageRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_salvageRobotManufactory,Salavage Robot Manufactory,10,30,,3,,AIRetrofit_advancedSalvageRobotManufactory,lightindustry,,graphics/icons/industry/AIRetrofit_salvageRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_salvageRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_surveyRobotManufactory,Survey Robot Manufactory,10,30,,3,,AIRetrofit_advancedSurveyRobotManufactory,lightindustry,,graphics/icons/industry/AIRetrofit_surveyRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_surveyRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_combatRobotManufactory,Combat Robot Manufactory,10,30,,3,,AIRetrofit_advancedCombatRobotManufactory,lightindustry,,graphics/icons/industry/AIRetrofit_combatRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_combatRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_advancedSalvageRobotManufactory,temp,20,50,,6,AIRetrofit_salvageRobotManufactory,,lightindustry,,graphics/icons/industry/AIRetrofit_advancedSalvageRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_advancedSalvageRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_advancedSurveyRobotManufactory,temp,20,50,,6,Survey Robot Manufactory,,lightindustry,,graphics/icons/industry/AIRetrofit_advancedSurveyRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_advancedSurveyRobotManufactory,not yet able to be built,1600,MEDIUM
AIRetrofit_advancedCombatRobotManufactory,temp,20,50,,6,Combat Robot Manufactory,,lightindustry,,graphics/icons/industry/AIRetrofit_advancedCombatRobotManufactory.png,data.scripts.AIWorldCode.industries.AIRetrofit_advancedCombatRobotManufactory,not yet able to be built,1600,MEDIUM
,,,,,,,,,,,,,,
AIRetrofit_AIRetrofitPurgeOption,Population Replacement Center,20,9999,,20,,,lightindustry,,graphics/icons/industry/AIRetrofit_AIRetrofitPurgeOption.png,data.scripts.AIWorldCode.industries.AIRetrofit_AIRetrofitPurgeOption,"replaces a humon markets population with robots, or a robots population with humons. reduces the size of the market slowly untill it reaches size 3, the compleats the upgrade, changeing the population type. a temp description",1600,MEDIUM
