commodity,group,freq
"item_:{tags:[AIRetrofit_CommandNode_Low, !no_drop, !restricted]}",airetrofit_subcommandnode,50
"item_:{tags:[AIRetrofit_CommandNode_Mid, !no_drop, !restricted]}",airetrofit_subcommandnode,100
"item_:{tags:[AIRetrofit_CommandNode_High, !no_drop, !restricted]}",airetrofit_subcommandnode,80
"item_:{tags:[AIRetrofit_CommandNode_VeryHigh, !no_drop, !restricted]}",airetrofit_subcommandnode,1
nothing,airetrofit_subcommandnode,90%
,,
AIretrofit_WorkerDrone,airetorift_robots_random,500
AIretrofit_CombatDrone,airetorift_robots_random,500
AIretrofit_SurveyDrone,airetorift_robots_random,500
AIretrofit_Advanced_WorkerDrone,airetorift_robots_random,100
AIretrofit_Advanced_CombatDrone,airetorift_robots_random,100
AIretrofit_Advanced_SurveyDrone,airetorift_robots_random,100
AIretrofit_Omega_WorkerDrone,airetorift_robots_random,1
AIretrofit_Omega_CombatDrone,airetorift_robots_random,1
AIretrofit_Omega_SurveyDrone,airetorift_robots_random,1
nothing,airetorift_robots_random,90%
,,
AIretrofit_WorkerDrone,airetorift_robots_salvage,500
AIretrofit_Advanced_WorkerDrone,airetorift_robots_salvage,100
AIretrofit_Omega_WorkerDrone,airetorift_robots_salvage,1
nothing,airetorift_robots_salvage,90%
,,
AIretrofit_SurveyDrone,airetorift_robots_survey,500
AIretrofit_Advanced_SurveyDrone,airetorift_robots_survey,100
AIretrofit_Omega_SurveyDrone,airetorift_robots_survey,1
nothing,airetorift_robots_survey,90%
,,
AIretrofit_CombatDrone,airetorift_robots_combat,500
AIretrofit_Advanced_CombatDrone,airetorift_robots_combat,100
AIretrofit_Omega_CombatDrone,airetorift_robots_combat,1
nothing,airetorift_robots_combat,90%
,,
,,
,,
,,
,,
,,
AIretrofit_WorkerDrone,goods,3.3
AIretrofit_CombatDrone,goods,3.3
AIretrofit_SurveyDrone,goods,3.3
AIretrofit_Advanced_WorkerDrone,goods,0.66
AIretrofit_Advanced_CombatDrone,goods,0.66
AIretrofit_Advanced_SurveyDrone,goods,0.66
AIretrofit_Omega_WorkerDrone,goods,0.0066
AIretrofit_Omega_CombatDrone,goods,0.0066
AIretrofit_Omega_SurveyDrone,goods,0.0066
,,
AIretrofit_WorkerDrone,extended,1.65
AIretrofit_CombatDrone,extended,1.65
AIretrofit_SurveyDrone,extended,1.65
AIretrofit_Advanced_WorkerDrone,extended,0.33
AIretrofit_Advanced_CombatDrone,extended,0.33
AIretrofit_Advanced_SurveyDrone,extended,0.33
AIretrofit_Omega_WorkerDrone,extended,0.0033
AIretrofit_Omega_CombatDrone,extended,0.0033
AIretrofit_Omega_SurveyDrone,extended,0.0033
,,
AIretrofit_WorkerDrone,hab_bulk,0.66
AIretrofit_CombatDrone,hab_bulk,0.66
AIretrofit_SurveyDrone,hab_bulk,0.66
AIretrofit_Advanced_WorkerDrone,hab_bulk,0.132
AIretrofit_Advanced_CombatDrone,hab_bulk,0.132
AIretrofit_Advanced_SurveyDrone,hab_bulk,0.132
AIretrofit_Omega_WorkerDrone,hab_bulk,0.00132
AIretrofit_Omega_CombatDrone,hab_bulk,0.00132
AIretrofit_Omega_SurveyDrone,hab_bulk,0.00132
,,
AIretrofit_WorkerDrone,freighter_cargo,1.65
AIretrofit_CombatDrone,freighter_cargo,1.65
AIretrofit_SurveyDrone,freighter_cargo,1.65
AIretrofit_Advanced_WorkerDrone,freighter_cargo,0.33
AIretrofit_Advanced_CombatDrone,freighter_cargo,0.33
AIretrofit_Advanced_SurveyDrone,freighter_cargo,0.33
AIretrofit_Omega_WorkerDrone,freighter_cargo,0.0033
AIretrofit_Omega_CombatDrone,freighter_cargo,0.0033
AIretrofit_Omega_SurveyDrone,freighter_cargo,0.0033
