commodity,group,freq,notes
"item_:{tags:[AIRetrofit_CommandNode_Low, !no_drop, !restricted]}",AIRetrofit_SubCommandNode,5,
"item_:{tags:[AIRetrofit_CommandNode_Mid, !no_drop, !restricted]}",AIRetrofit_SubCommandNode,10,
"item_:{tags:[AIRetrofit_CommandNode_High, !no_drop, !restricted]}",AIRetrofit_SubCommandNode,8,
"item_:{tags:[AIRetrofit_CommandNode_VeryHigh, !no_drop, !restricted]}",AIRetrofit_SubCommandNode,0.1,
nothing,AIRetrofit_SubCommandNode,90%,
,,,
"item_:{tags:[AIRetrofit_BasicBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_AdvancedBots, !no_drop, !restricted]}",AIRetrofit_temp,1,
"item_:{tags:[AIRetrofit_Omega_Bots, !no_drop, !restricted]}",AIRetrofit_temp,0.01,
nothing,AIRetrofit_temp,90%,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SurveyBot, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_CombatBot, !no_drop, !restricted]}",AIRetrofit_temp,5,
nothing,AIRetrofit_temp,90%,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_BasicBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_AdvancedBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_Omega_Bots, !no_drop, !restricted]}",AIRetrofit_temp,0.0000001,
nothing,AIRetrofit_temp,90%,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_BasicBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_AdvancedBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_Omega_Bots, !no_drop, !restricted]}",AIRetrofit_temp,0.0000001,
nothing,AIRetrofit_temp,90%,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_BasicBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_AdvancedBots, !no_drop, !restricted]}",AIRetrofit_temp,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_Omega_Bots, !no_drop, !restricted]}",AIRetrofit_temp,0.0000001,
nothing,AIRetrofit_temp,90%,
,,,
"item_:{tags:[AIRetrofit_BasicBots, !no_drop, !restricted]}",goods,10,
"item_:{tags:[AIRetrofit_AdvancedBots, !no_drop, !restricted]}",goods,5,
"item_:{tags:[AIRetrofit_Omega_Bots, !no_drop, !restricted]}",goods,0.05,
,,,
"item_:{tags:[AIRetrofit_BasicBots, !no_drop, !restricted]}",extended,5,
"item_:{tags:[AIRetrofit_AdvancedBots, !no_drop, !restricted]}",extended,2.5,
"item_:{tags:[AIRetrofit_Omega_Bots, !no_drop, !restricted]}",extended,0.025,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_BasicBots, !no_drop, !restricted]}",mining_station,10,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_AdvancedBots, !no_drop, !restricted]}",mining_station,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_Omega_Bots, !no_drop, !restricted]}",mining_station,0.05,
,,,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_BasicBots, !no_drop, !restricted]}",mining_bulk,5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_AdvancedBots, !no_drop, !restricted]}",mining_bulk,2.5,
"item_:{tags:[AIRetrofit_SalvageBot, AIRetrofit_Omega_Bots, !no_drop, !restricted]}",mining_bulk,0.025,
,,,
"item_:{tags:[AIRetrofit_BasicBots, !no_drop, !restricted]}",hab_bulk,2,
"item_:{tags:[AIRetrofit_AdvancedBots, !no_drop, !restricted]}",hab_bulk,1,
"item_:{tags:[AIRetrofit_Omega_Bots, !no_drop, !restricted]}",hab_bulk,0.01,
,,,
"item_:{tags:[AIRetrofit_BasicBots, !no_drop, !restricted]}",freighter_cargo,5,
"item_:{tags:[AIRetrofit_AdvancedBots, !no_drop, !restricted]}",freighter_cargo,2.5,
"item_:{tags:[AIRetrofit_Omega_Bots, !no_drop, !restricted]}",freighter_cargo,0.025,
