name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
AI retrofit,mymod_airetrofit,,0.9,common,"req_spaceport, merc","Logistics, Requires Dock",35000,TRUE,FALSE,,5,10,15,25,data.scripts.hullmods.AIretrofit,"Preform modifications to this ships inner components, in an attempt to automate it. The modifications are extensive. for every 5/10/20/40 minimum crew required this mod costs an additional %s op, for a total of %s opp. At the command center of the ship, an overclocked delta core is installed, That manages the newly installed and somewhat patchwork automated components of the ship added by the hull mod This core, and the automated systems attached to it are extremely costly, raising the monthly supply cost by %s. Do to the nature of the somewhat chaotic modifications, the in combat repair rate of the ship is reduced by %s. A significant crew space is used by the new automated systems, reducing max crew by %s. Sets the minimum required crew to %s.",OP,
AutomatedCrewReplacementDrones,mymod_AutomatedCrewReplacementDrones,,0.9,common,"req_spaceport, merc","Logistics, Requires Dock",35000,TRUE,FALSE,,0,0,0,0,data.scripts.hullmods.AutomatedCrewReplacementDrones,get %s free crew,,
temp0,mymod_temp0,,0.1,common,req_spaceport,Requires Dock,100,TRUE,FALSE,FALSE,5,10,20,40,data.scripts.hullmods.temp0,hope this works mabye,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd1,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd1,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd2,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd2,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd3,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd3,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd4,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd4,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd5,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd5,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd6,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd6,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd7,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd7,dont look plz,,
